[2025-03-10 23:42:31,203] 11 langchain_community.utils.user_agent -WARNING - USER_AGENT environment variable not set, consider setting it to identify your requests.
[2025-03-10 23:42:31,217] 15 root -INFO - Data loading started ...
[2025-03-10 23:42:34,636] 19 root -INFO - logging completed
[2025-03-10 23:42:34,638] 16 root -INFO - downloading gemini embedding...
[2025-03-10 23:42:34,673] 20 root -INFO - embedding downloaded successfully
[2025-03-10 23:42:36,030] 125 faiss.loader -INFO - Loading faiss with AVX2 support.
[2025-03-10 23:42:36,076] 127 faiss.loader -INFO - Successfully loaded faiss with AVX2 support.
[2025-03-10 23:42:36,091] 204 faiss -INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes.
[2025-03-10 23:42:36,101] 23 root -INFO - Index created successfully
[2025-03-10 23:42:36,148] 12 root -INFO - Model is loading...
[2025-03-10 23:42:36,201] 97 werkzeug -WARNING -  * Debugger is active!
[2025-03-10 23:42:36,224] 97 werkzeug -INFO -  * Debugger PIN: 213-542-853
[2025-03-10 23:43:23,878] 97 werkzeug -INFO - 127.0.0.1 - - [10/Mar/2025 23:43:23] "POST /chat HTTP/1.1" 200 -
[2025-03-10 23:45:36,514] 97 werkzeug -INFO -  * Detected change in 'C:\\Users\\jisna\\chatbot\\App1.py', reloading
