[2025-03-11 00:07:22,297] 11 langchain_community.utils.user_agent -WARNING - USER_AGENT environment variable not set, consider setting it to identify your requests.
[2025-03-11 00:07:22,309] 15 root -INFO - Data loading started ...
[2025-03-11 00:07:25,862] 19 root -INFO - logging completed
[2025-03-11 00:07:25,894] 16 root -INFO - downloading gemini embedding...
[2025-03-11 00:07:26,007] 20 root -INFO - embedding downloaded successfully
[2025-03-11 00:07:28,104] 125 faiss.loader -INFO - Loading faiss with AVX2 support.
[2025-03-11 00:07:28,574] 127 faiss.loader -INFO - Successfully loaded faiss with AVX2 support.
[2025-03-11 00:07:28,599] 204 faiss -INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes.
[2025-03-11 00:07:28,610] 23 root -INFO - Index created successfully
[2025-03-11 00:07:28,677] 12 root -INFO - Model is loading...
[2025-03-11 00:07:28,819] 97 werkzeug -WARNING -  * Debugger is active!
[2025-03-11 00:07:28,841] 97 werkzeug -INFO -  * Debugger PIN: 213-542-853
[2025-03-11 00:08:43,428] 97 werkzeug -INFO - 127.0.0.1 - - [11/Mar/2025 00:08:43] "POST /chat HTTP/1.1" 200 -
[2025-03-11 00:11:53,691] 97 werkzeug -INFO -  * Detected change in 'C:\\Users\\jisna\\chatbot\\App.py', reloading
