[2025-03-10 23:37:01,704] 11 langchain_community.utils.user_agent -WARNING - USER_AGENT environment variable not set, consider setting it to identify your requests.
[2025-03-10 23:37:01,723] 15 root -INFO - Data loading started ...
[2025-03-10 23:37:05,523] 19 root -INFO - logging completed
[2025-03-10 23:37:05,525] 16 root -INFO - downloading gemini embedding...
[2025-03-10 23:37:05,559] 20 root -INFO - embedding downloaded successfully
[2025-03-10 23:37:07,426] 125 faiss.loader -INFO - Loading faiss with AVX2 support.
[2025-03-10 23:37:07,462] 127 faiss.loader -INFO - Successfully loaded faiss with AVX2 support.
[2025-03-10 23:37:07,477] 204 faiss -INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes.
[2025-03-10 23:37:07,485] 23 root -INFO - Index created successfully
[2025-03-10 23:37:07,528] 12 root -INFO - Model is loading...
[2025-03-10 23:37:07,571] 97 werkzeug -WARNING -  * Debugger is active!
[2025-03-10 23:37:07,600] 97 werkzeug -INFO -  * Debugger PIN: 213-542-853
[2025-03-10 23:38:16,751] 97 werkzeug -INFO - 127.0.0.1 - - [10/Mar/2025 23:38:16] "[35m[1mPOST /chat HTTP/1.1[0m" 500 -
[2025-03-10 23:39:14,916] 97 werkzeug -INFO -  * Detected change in 'C:\\Users\\jisna\\chatbot\\App.py', reloading
