[2025-03-11 00:08:07,220] 11 langchain_community.utils.user_agent -WARNING - USER_AGENT environment variable not set, consider setting it to identify your requests.
[2025-03-11 00:08:07,236] 15 root -INFO - Data loading started ...
[2025-03-11 00:08:10,687] 19 root -INFO - logging completed
[2025-03-11 00:08:10,689] 16 root -INFO - downloading gemini embedding...
[2025-03-11 00:08:10,730] 20 root -INFO - embedding downloaded successfully
[2025-03-11 00:08:12,792] 125 faiss.loader -INFO - Loading faiss with AVX2 support.
[2025-03-11 00:08:12,827] 127 faiss.loader -INFO - Successfully loaded faiss with AVX2 support.
[2025-03-11 00:08:12,842] 204 faiss -INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes.
[2025-03-11 00:08:12,847] 23 root -INFO - Index created successfully
[2025-03-11 00:08:12,897] 12 root -INFO - Model is loading...
[2025-03-11 00:08:12,929] 97 werkzeug -WARNING -  * Debugger is active!
[2025-03-11 00:08:12,946] 97 werkzeug -INFO -  * Debugger PIN: 213-542-853
[2025-03-11 00:11:52,914] 97 werkzeug -INFO -  * Detected change in 'C:\\Users\\jisna\\chatbot\\App.py', reloading
