[2025-03-10 23:46:00,568] 11 langchain_community.utils.user_agent -WARNING - USER_AGENT environment variable not set, consider setting it to identify your requests.
[2025-03-10 23:46:00,581] 15 root -INFO - Data loading started ...
[2025-03-10 23:46:04,068] 19 root -INFO - logging completed
[2025-03-10 23:46:04,071] 16 root -INFO - downloading gemini embedding...
[2025-03-10 23:46:04,131] 20 root -INFO - embedding downloaded successfully
[2025-03-10 23:46:05,413] 125 faiss.loader -INFO - Loading faiss with AVX2 support.
[2025-03-10 23:46:05,461] 127 faiss.loader -INFO - Successfully loaded faiss with AVX2 support.
[2025-03-10 23:46:05,479] 204 faiss -INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes.
[2025-03-10 23:46:05,492] 23 root -INFO - Index created successfully
[2025-03-10 23:46:05,545] 12 root -INFO - Model is loading...
[2025-03-10 23:46:05,601] 97 werkzeug -WARNING -  * Debugger is active!
[2025-03-10 23:46:05,620] 97 werkzeug -INFO -  * Debugger PIN: 213-542-853
[2025-03-11 00:07:10,732] 97 werkzeug -INFO -  * Detected change in 'C:\\Users\\jisna\\chatbot\\App1.py', reloading
